recurso,src,url,description,tags,Todos,Tablero,Reporte,orden
Últimos datos,img/ultimos_datos.png,https://tableros.yvera.tur.ar/tablero_ultimos_datos/,Tablero interactivo con los últimos datos del turismo en Argentina,Tablero,1,1,0,1
Turismo Internacional Tablero,img/ti_dash.png,https://tableros.yvera.tur.ar/turismo_internacional/,Tablero para la consulta de datos desagregados de las estimaciones históricas de Turismo Internacional,Tablero,1,1,0,2
Turismo Internacional Reporte,img/ti.png,https://tableros.yvera.tur.ar/internacional.html,"El reporte presenta la última información de turismo receptivo, emisivo y balanza turística
                   por todas las vías (aéreo, terrestre y fluvial / marítimo)",Reporte,1,0,1,3
EVYTH,img/evyth.png,https://tableros.yvera.tur.ar/interno.html,Reporte de los últimos datos de Turismo Interno estimados por la Encuesta de Viajes y Turismo de los Hogares,Reporte,1,0,1,4
Ocupación Hotelera Tablero,img/eoh_tablero.png,https://tableros.yvera.tur.ar/tablero_eoh/,Tablero interactivo con datos históricos de la Encuesta de Ocupación Hotelera (EOH),Tablero,1,1,0,5
Ocupación Hotelera,img/eoh.png,https://tableros.yvera.tur.ar/eoh.html,Presenta los últimos datos disponibles de la Encuesta de Ocupación Hotelera (EOH),Reporte,1,0,1,6
Áreas Protegidas Tablero,img/parques_tablero.png,https://tableros.yvera.tur.ar/tablero_areas_protegidas,Tablero para la consulta de información de visitas a Áreas Protegidas Nacionales y Provinciales,Tablero,1,1,0,7
Áreas Protegidas Reporte,img/parques.png,https://tableros.yvera.tur.ar/areas_protegidas.html,Información de visitas a Áreas Protegidas Nacionales y Provinciales,Reporte,1,0,1,8
Conectividad Aérea,img/conectividad.png,https://tableros.yvera.tur.ar/conectividad/,Tablero interactivo con información aerocomercial para el turismo,Tablero,1,1,0,9
Conectividad Aérea Reporte,img/conectividad_aerea.png,https://tableros.yvera.tur.ar/conectividad.html,Reporte mensual sobre los últimos datos del sector aerocomercial a partir de la información de la Administración Nacional de Aviación Civil,Reporte,1,0,1,10
Conectividad Terrestre,img/conectividad-terrestre.png,https://tableros.yvera.tur.ar/conectividad_terrestre/,Tablero interactivo con información de servicios regulares interurbanos de buses,Tablero,1,1,0,11
CRUCERISMO,img/crucerismo.png,https://tableros.yvera.tur.ar/crucerismo,Tablero interactivo con información sobre el crucerismo en Argentina,Tablero,1,1,0,12
PUNA,img/puna.png,https://tableros.yvera.tur.ar/puna/,Tablero para la consulta de estimaciones agregadas del Padrón Único Nacional de Alojamientos (PUNA),Tablero,1,1,0,13
Empleo,img/empleo.png,https://tableros.yvera.tur.ar/empleo.html,Reporte sobre empleo registrado en las ramas características del turismo,Reporte,1,0,1,14
MULC,img/mulc.png,https://tableros.yvera.tur.ar/mulc.html,Reporte sobre transacciones en divisas relacionadas al turismo en el Mercado de Cambios (BCRA),Reporte,1,0,1,15
SIG,img/visor.png,https://tableros.yvera.tur.ar/inversiones,Visor de Información Geográfica de Turismo para Plataforma de Inversiones,Tablero,1,1,0,16
Índice Turístico,img/indice.png,https://tableros.yvera.tur.ar/indice_turistico,Tablero interactivo para la exploración del Índice Turístico de Localidades,Tablero,1,1,0,17
Indicadores ODS,img/indicadores_ods.png,https://tableros.yvera.tur.ar/tablero_ODS,Tablero interactivo para el seguimiento de indicadores de turismo en Argentina relacionados con los Objetivos de Desarrollo Sostenible (ODS),Tablero,1,1,0,18
mapeAr,img/mapeAr.png,https://tableros.yvera.tur.ar/mapeAr,Tablero para la generación de mapas con información georeferenciada de Turismo,Tablero,1,1,0,19
Agencias,img/agencias.png,https://tableros.yvera.tur.ar/agencias,Tablero con información del Registro de Agencias de Viajes de la Dirección Nacional de Agencias de Viajes,Tablero,1,1,0,20
